VBG,NNS,TO,RBS,DT,XX,VBD,VBN,JJ,WP,CC,EX,PDT,PRP$,CD,WDT,_SP,IN,WP$,RP,NNPS,LS,WRB,JJR,FW,RBR,'',POS,ADD,VB,JJS,UH,VBZ,PRP,NN,VBP,MD,NNP,RB,depression
2,8,4,0,8,0,1,4,8,0,6,0,0,4,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,9,0,1,4,9,11,8,4,3,10,1
1,7,2,1,11,0,0,6,6,1,8,0,0,4,2,0,0,8,0,2,0,0,0,0,0,0,0,0,0,5,0,0,4,5,21,5,1,0,7,1
2,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,2,1
32,79,38,0,135,1,31,28,94,3,65,2,3,41,15,3,0,170,0,6,0,0,8,13,1,6,0,0,0,145,2,3,23,216,172,93,25,30,122,1
7,11,7,0,21,0,6,4,20,1,11,3,0,2,2,0,0,27,0,2,0,0,3,1,0,0,0,0,0,16,0,1,2,16,22,9,2,2,22,1
0,0,1,0,3,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,0,0,3,1
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
16,19,13,0,25,0,6,7,24,5,17,0,1,4,1,2,0,35,0,3,0,0,4,1,0,0,0,0,0,24,1,0,7,29,33,17,6,11,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,2,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,1
0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
1,6,0,0,5,0,0,0,3,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,9,5,9,3,0,4,1
1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1
0,4,1,0,1,0,0,1,4,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,1,6,1,1,3,1
2,4,1,0,5,0,3,0,8,0,2,0,0,2,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,8,6,6,3,1,7,1
2,3,3,0,9,0,4,3,3,0,5,0,0,2,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,1,9,1,0,0,6,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,1,1,5,0,3,1,4,1,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,9,8,6,1,0,5,1
4,4,3,0,15,0,13,1,17,2,3,1,2,6,2,1,0,20,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,9,21,0,4,6,10,1
6,8,0,0,4,0,2,1,5,0,2,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,8,7,3,2,2,6,1
0,4,0,0,4,0,3,1,3,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,5,2,2,0,6,1
1,2,0,0,6,0,2,1,2,0,0,0,0,3,1,1,0,7,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,3,7,2,2,0,1,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,3,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,1
0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,1,0,2,1
1,2,2,0,6,0,1,1,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,4,8,3,1,1,7,1
0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,4,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,2,0,2,0,2,1,2,2,4,0,0,2,1,0,0,6,0,1,0,0,3,1,0,0,0,0,0,6,0,0,2,11,7,7,3,0,8,1
7,5,5,0,10,0,0,2,8,4,2,0,0,1,0,1,0,16,0,2,0,0,3,0,0,0,0,0,0,7,0,1,12,17,15,6,1,1,16,1
2,3,2,0,8,0,1,3,7,0,2,1,0,1,0,0,0,14,0,0,0,0,1,3,0,0,0,0,0,8,1,2,4,5,17,3,2,1,14,1
0,3,4,0,7,0,2,0,7,0,3,1,0,2,1,0,0,6,0,1,0,0,1,0,0,0,0,0,0,6,0,0,1,8,4,8,1,1,11,1
4,11,4,0,11,0,2,3,6,1,6,0,0,0,1,0,1,20,0,1,0,0,0,2,0,0,0,0,0,7,0,0,3,6,18,7,2,0,10,1
1,2,0,0,3,0,1,1,2,0,1,0,0,0,1,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,4,1,0,0,1,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
